代码,    名称,.,所属行业
601789,宁波建工,3,建筑装饰
601798,蓝科高新,,专用设备
601799,星宇股份,,汽车零部件
601800,中国交建,3,建筑装饰
601801,皖新传媒,3,传媒
601808,中海油服,3,采掘服务
601818,光大银行,3,银行
601857,中国石油,3,石油矿业开采
601866,中海集运,3,港口航运
601872,招商轮船,3,港口航运
601877,正泰电器,3,电气设备
601880,大连港,3,港口航运
601886,江河创建,3,建筑装饰
601888,中国国旅,3,景点及旅游
601890,亚星锚链,,国防军工
601898,中煤能源,3,煤炭开采
601899,紫金矿业,3,有色冶炼加工
601901,方正证券,3,证券
601908,京运通,,电气设备
601918,国投新集,3,煤炭开采
601919,中国远洋,3,港口航运
601928,凤凰传媒,3,传媒
601929,吉视传媒,3,通信服务
601933,永辉超市,3,零售
601939,建设银行,3,银行
601958,金钼股份,3,有色冶炼加工
601965,中国汽研,,交运设备服务
601969,海南矿业,,石油矿业开采
601988,中国银行,3,银行
601989,中国重工,3,国防军工
601991,大唐发电,3,电力
601992,金隅股份,3,房地产开发
601996,丰林集团,3,家用轻工
601998,中信银行,3,银行
601999,出版传媒,3,传媒
603000,人民网,3,通信服务
603001,奥康国际,,服装家纺
603002,宏昌电子,,化学制品
603003,龙宇燃油,,基础化学
603005,晶方科技,,半导体及元件
603006,联明股份,,汽车零部件
603008,喜临门,,家用轻工
603009,北特科技,,汽车零部件
603010,万盛股份,,化学制品
603011,合锻股份,,通用设备
603012,创力集团,,专用设备
603015,弘讯科技,,电气设备
603017,园区设计,,建筑装饰
603018,设计股份,,建筑装饰
603019,中科曙光,,计算机设备
603020,爱普股份,,食品加工制造
603021,山东华鹏,,家用轻工
603025,大豪科技,,计算机设备
603030,全筑股份,,建筑装饰
603077,和邦股份,,基础化学
603088,宁波精达,,通用设备
603099,长白山,,景点及旅游
603100,川仪股份,,电气设备
603111,康尼机电,,非汽车交运
603118,共进股份,,通信设备
603123,翠微股份,,零售
603126,中材节能,,环保工程
603128,华贸物流,,物流
603158,腾龙股份,,汽车零部件
603166,福达股份,,汽车零部件
603167,渤海轮渡,,港口航运
603168,莎普爱思,,化学制药
603169,兰石重装,,专用设备
603188,亚邦股份,,化学制品
603199,九华旅游,,景点及旅游
603222,济民制药,,化学制药
603268,松发股份,,家用轻工
603288,海天味业,,食品加工制造
603306,华懋科技,,汽车零部件
603308,应流股份,,通用设备
603309,维力医疗,,医疗器械服务
603315,福鞍股份,,通用设备
603318,派思股份,,专用设备
603328,依顿电子,,半导体及元件
603333,明星电缆,,电气设备
603338,浙江鼎力,,专用设备
603366,日出东方,,白色家电
603368,柳州医药,,医药商业
603369,今世缘,,饮料制造
603399,新华龙,,有色冶炼加工
603456,九洲药业,,化学制药
603518,维格娜丝,,服装家纺
603519,立霸股份,,白色家电
603555,贵人鸟,,服装家纺
603558,健盛集团,,服装家纺
603567,珍宝岛,,中药
603588,高能环境,,环保工程
603600,永艺股份,,家用轻工
603601,再升科技,,化工新材料
603606,东方电缆,,电气设备
603609,禾丰牧业,,农产品加工
603611,诺力股份,,专用设备
603618,杭电股份,,电气设备
603636,南威软件,,计算机应用
603678,火炬电子,,半导体及元件
603686,龙马环卫,,专用设备
603688,石英股份,,新材料
603698,航天工程,,建筑装饰
603699,纽威股份,,通用设备
603703,盛洋科技,,电气设备
603729,龙韵股份,,传媒
603766,隆鑫通用,,非汽车交运
603788,宁波高发,,汽车零部件
603789,星光农机,,专用设备
603799,华友钴业,,有色冶炼加工
603806,福斯特,,电气设备
603808,歌力思,,服装家纺
603818,曲美股份,,家用轻工
603828,柯利达,,建筑装饰
603869,北部湾旅,,景点及旅游
603883,老百姓,,零售
603889,新澳股份,,纺织制造
603898,好莱客,,家用轻工
603899,晨光文具,,包装印刷
603939,益丰药房,,医药商业
603969,银龙股份,,通用设备
603988,中电电机,,电气设备
603993,洛阳钼业,3,有色冶炼加工
603997,继峰股份,,汽车零部件
603998,DR方盛制,,中药
1,平安银行,3,银行
2,万  科Ａ,3,房地产开发
4,国农科技,,生物制品
5,世纪星源,,房地产开发
6,深振业Ａ,3,房地产开发
7,零七股份,,酒店及餐饮
8,神州高铁,,酒店及餐饮
9,中国宝安,3,综合
10,深华新,,综合
11,深物业A,,房地产开发
12,南  玻Ａ,3,建筑材料
14,沙河股份,,房地产开发
16,深康佳Ａ,,视听器材
17,深中华A,,非汽车交运
18,中冠A,,综合
19,深深宝Ａ,,饮料制造
20,深华发Ａ,,电子制造
21,深科技,,计算机设备
22,深赤湾Ａ,,港口航运
23,深天地Ａ,,建筑材料
24,招商地产,3,房地产开发
25,特  力Ａ,,交运设备服务
26,飞亚达Ａ,,家用轻工
27,深圳能源,3,电力
28,国药一致,3,医药商业
29,深深房Ａ,,房地产开发
30,富奥股份,,汽车零部件
31,中粮地产,3,房地产开发
32,深桑达Ａ,,通信设备
33,*ST新都,,酒店及餐饮
34,深信泰丰,,通信设备
35,中国天楹,,环保工程
36,华联控股,,房地产开发
37,深南电Ａ,,电力
38,深大通,,房地产开发
39,中集集团,3,通用设备
40,宝安地产,,房地产开发
42,中洲控股,,房地产开发
43,中航地产,3,房地产开发
45,深纺织Ａ,,光学光电子
46,泛海控股,3,房地产开发
48,康达尔,,农产品加工
49,德赛电池,3,电子制造
50,深天马Ａ,3,光学光电子
55,方大集团,,建筑装饰
56,深国商,,房地产开发
58,深 赛 格,,零售
59,*ST华锦,,基础化学
60,中金岭南,3,有色冶炼加工
61,农 产 品,3,零售
62,深圳华强,3,零售
63,中兴通讯,3,通信设备
65,北方国际,,建筑装饰
66,长城电脑,,计算机设备
68,*ST华赛,,综合
69,华侨城Ａ,3,房地产开发
70,特发信息,,通信设备
78,海王生物,3,生物制品
88,盐 田 港,3,港口航运
89,深圳机场,3,机场航运
90,天健集团,,房地产开发
96,广聚能源,,基础化学
99,中信海直,3,机场航运
100,TCL 集团,3,视听器材
150,宜华健康,,房地产开发
151,中成股份,3,贸易
153,丰原药业,,化学制药
155,ST川化,,化学制品
156,华数传媒,3,通信服务
157,中联重科,3,专用设备
158,常山股份,,纺织制造
159,国际实业,,煤炭开采
166,申万宏源,,证券
301,东方市场,,零售
333,美的集团,3,白色家电
338,潍柴动力,3,汽车零部件
400,许继电气,3,电气设备
401,冀东水泥,3,建筑材料
402,金 融 街,3,房地产开发
403,ST生化,,生物制品
404,华意压缩,,白色家电
407,胜利股份,,化学制品
408,金谷源,,贸易
409,山东地矿,,石油矿业开采
410,沈阳机床,3,通用设备
411,英特集团,,医药商业
413,东旭光电,3,光学光电子
415,渤海租赁,3,保险及其他
416,民生控股,,零售
417,合肥百货,3,零售
418,小天鹅Ａ,,白色家电
419,通程控股,,零售
420,吉林化纤,,化工合成材料
421,南京中北,,综合
422,湖北宜化,3,化学制品
423,东阿阿胶,3,中药
425,徐工机械,3,专用设备
426,兴业矿业,3,有色冶炼加工
428,华天酒店,,酒店及餐饮
429,粤高速Ａ,,公路铁路运输
430,张家界,,景点及旅游
488,晨鸣纸业,,造纸
498,山东路桥,,建筑装饰
501,鄂武商Ａ,3,零售
502,绿景控股,,房地产开发
503,海虹控股,3,通信服务
504,南华生物,,传媒
505,珠江控股,,房地产开发
506,中润资源,3,房地产开发
507,珠海港,,港口航运
509,华塑控股,,建筑材料
510,*ST金路,,基础化学
511,烯碳新材,3,新材料
513,丽珠集团,3,化学制药
514,渝 开 发,,房地产开发
516,国际医学,3,零售
517,荣安地产,,房地产开发
518,四环生物,,生物制品
519,江南红箭,,通用设备
520,*ST凤凰,,港口航运
521,美菱电器,,白色家电
523,广州浪奇,,化学制品
524,东方宾馆,,酒店及餐饮
525,红 太 阳,3,化学制品
526,银润投资,,房地产开发
528,柳    工,3,专用设备
529,广弘控股,,综合
530,大冷股份,,通用设备
531,穗恒运Ａ,,电力
532,力合股份,,半导体及元件
533,万 家 乐,,白色家电
534,万泽股份,,房地产开发
536,华映科技,3,光学光电子
537,广宇发展,3,房地产开发
538,云南白药,3,中药
539,粤电力Ａ,3,电力
540,中天城投,3,房地产开发
541,佛山照明,3,其他电子
543,皖能电力,3,电力
544,中原环保,,燃气水务
545,金浦钛业,,基础化学
546,金圆股份,,建筑材料
547,闽福发Ａ,,通信设备
548,湖南投资,,公路铁路运输
550,江铃汽车,3,汽车整车
551,创元科技,3,综合
552,靖远煤电,3,煤炭开采
553,沙隆达Ａ,,化学制品
554,泰山石油,3,基础化学
555,神州信息,,计算机应用
557,*ST广夏,,饮料制造
558,莱茵置业,,房地产开发
559,万向钱潮,3,汽车零部件
560,昆百大Ａ,,零售
561,烽火电子,,通信设备
563,陕国投Ａ,3,保险及其他
564,西安民生,,零售
565,渝三峡Ａ,,化学制品
566,海南海药,3,化学制药
567,海德股份,,房地产开发
568,泸州老窖,3,饮料制造
570,苏常柴Ａ,,通用设备
571,新大洲Ａ,,煤炭开采
572,海马汽车,3,汽车整车
573,粤宏远Ａ,,房地产开发
576,广东甘化,,造纸
581,威孚高科,3,汽车零部件
582,北部湾港,,港口航运
584,友利控股,,化工合成材料
585,东北电气,,电气设备
586,汇源通信,,通信设备
587,金叶珠宝,,家用轻工
589,黔轮胎Ａ,,化工合成材料
590,紫光古汉,,中药
591,桐 君 阁,,医药商业
592,平潭发展,3,种植业与林业
593,大通燃气,,综合
594,*ST国恒,,公路铁路运输
595,西北轴承,,通用设备
596,古井贡酒,3,饮料制造
597,东北制药,,化学制药
598,兴蓉投资,3,燃气水务
599,青岛双星,,化工合成材料
600,建投能源,,电力
601,韶能股份,,电力
603,盛达矿业,,有色冶炼加工
605,渤海股份,,燃气水务
606,青海明胶,,中药
607,华媒控股,3,传媒
608,阳光股份,,房地产开发
609,绵世股份,,房地产开发
610,西安旅游,,景点及旅游
611,内蒙发展,,贸易
612,焦作万方,,有色冶炼加工
613,大东海A,,酒店及餐饮
615,湖北金环,,化工合成材料
616,海航投资,3,房地产开发
617,石油济柴,,通用设备
619,海螺型材,,建筑材料
620,新华联,,房地产开发
622,恒立实业,,汽车零部件
623,吉林敖东,3,中药
625,长安汽车,3,汽车整车
626,如意集团,,贸易
627,天茂集团,,化学制品
628,高新发展,,综合
629,攀钢钒钛,3,石油矿业开采
630,铜陵有色,3,有色冶炼加工
631,顺发恒业,3,房地产开发
632,三木集团,,综合
633,合金投资,,专用设备
635,英 力 特,,基础化学
636,风华高科,,半导体及元件
637,茂化实华,,基础化学
638,万方发展,,房地产开发
639,西王食品,,农产品加工
650,仁和药业,3,中药
651,格力电器,3,白色家电
652,泰达股份,,综合
655,金岭矿业,3,石油矿业开采
656,金科股份,,房地产开发
657,中钨高新,,有色冶炼加工
659,*ST中富,,包装印刷
661,长春高新,3,生物制品
662,索芙特,,化学制品
663,永安林业,,种植业与林业
665,湖北广电,,通信服务
666,经纬纺机,,保险及其他
667,美好集团,3,房地产开发
668,荣丰控股,,房地产开发
669,金鸿能源,,燃气水务
670,盈方微,,半导体及元件
671,阳 光 城,3,房地产开发
672,上峰水泥,,建筑材料
673,当代东方,,传媒
676,智度投资,,仪器仪表
677,*ST海龙,,化工合成材料
678,襄阳轴承,,汽车零部件
679,大连友谊,,零售
680,山推股份,3,专用设备
681,视觉中国,,传媒
682,东方电子,,电气设备
683,远兴能源,,煤炭开采
685,中山公用,3,燃气水务
686,东北证券,3,证券
687,恒天天鹅,,化工合成材料
688,建新矿业,,有色冶炼加工
690,宝新能源,3,电力
691,亚太实业,,房地产开发
692,惠天热电,,电力
693,华泽钴镍,3,有色冶炼加工
695,滨海能源,,电力
697,炼石有色,3,有色冶炼加工
698,沈阳化工,,基础化学
700,模塑科技,,汽车零部件
701,厦门信达,,综合
702,正虹科技,,农产品加工
703,恒逸石化,,化工合成材料
705,浙江震元,,医药商业
707,双环科技,,基础化学
708,大冶特钢,,钢铁
709,河北钢铁,3,钢铁
710,天兴仪表,,汽车零部件
711,*ST京蓝,,综合
712,锦龙股份,3,证券
713,丰乐种业,,种植业与林业
715,中兴商业,,零售
716,黑芝麻,,食品加工制造
717,韶钢松山,,钢铁
718,苏宁环球,3,房地产开发
719,大地传媒,,传媒
720,新能泰山,,电力
721,西安饮食,,酒店及餐饮
722,湖南发展,,电力
723,美锦能源,,煤炭开采
725,京东方Ａ,3,光学光电子
726,鲁  泰Ａ,,纺织制造
727,华东科技,,光学光电子
728,国元证券,3,证券
729,燕京啤酒,3,饮料制造
731,四川美丰,3,化学制品
732,泰禾集团,3,房地产开发
733,振华科技,,半导体及元件
735,罗 牛 山,,养殖业
736,中房地产,,房地产开发
737,南风化工,,化学制品
738,中航动控,3,国防军工
739,普洛药业,3,化学制药
748,长城信息,3,计算机设备
750,国海证券,3,证券
751,锌业股份,,有色冶炼加工
752,西藏发展,,饮料制造
753,漳州发展,,零售
755,*ST三维,,化工新材料
756,新华制药,,化学制药
757,浩物股份,,汽车零部件
758,中色股份,3,有色冶炼加工
759,中百集团,,零售
760,斯太尔,,汽车零部件
761,本钢板材,3,钢铁
762,西藏矿业,3,石油矿业开采
766,通化金马,,中药
767,漳泽电力,,电力
768,中航飞机,3,国防军工
776,广发证券,3,证券
777,中核科技,3,通用设备
778,新兴铸管,3,钢铁
779,三毛派神,,纺织制造
780,平庄能源,3,煤炭开采
782,美达股份,,化工合成材料
783,长江证券,3,证券
785,武汉中商,,零售
786,北新建材,3,建筑材料
788,北大医药,3,化学制药
789,万年青,3,建筑材料
790,华神集团,3,中药
791,甘肃电投,,电力
792,盐湖股份,3,化学制品
793,华闻传媒,3,传媒
795,太原刚玉,,新材料
796,易食股份,,食品加工制造
797,中国武夷,,房地产开发
798,中水渔业,,养殖业
799,酒 鬼 酒,,饮料制造
800,一汽轿车,3,汽车整车
801,四川九洲,3,--
802,北京文化,,景点及旅游
803,金宇车城,,房地产开发
806,银河投资,,电气设备
807,云铝股份,3,有色冶炼加工
809,铁岭新城,,房地产开发
810,创维数字,,视听器材
811,烟台冰轮,3,通用设备
812,陕西金叶,3,包装印刷
813,天山纺织,,综合
815,*ST美利,,造纸
816,江淮动力,3,通用设备
818,方大化工,,化工新材料
819,岳阳兴长,,基础化学
820,金城股份,,造纸
821,京山轻机,,专用设备
822,山东海化,,基础化学
823,超声电子,3,半导体及元件
825,太钢不锈,3,钢铁
826,桑德环境,3,环保工程
828,东莞控股,,公路铁路运输
829,天音控股,3,零售
830,鲁西化工,3,化学制品
831,五矿稀土,3,有色冶炼加工
833,贵糖股份,,造纸
835,长城动漫,,煤炭开采
836,鑫茂科技,,通信设备
837,秦川机床,,通用设备
838,国兴地产,,房地产开发
839,中信国安,3,综合
848,承德露露,3,饮料制造
850,华茂股份,,纺织制造
851,高鸿股份,3,通信设备
852,江钻股份,,专用设备
856,冀东装备,,专用设备
858,五 粮 液,3,饮料制造
859,国风塑业,,化工合成材料
860,顺鑫农业,3,饮料制造
861,海印股份,,零售
862,银星能源,,电气设备
863,三湘股份,,房地产开发
868,安凯客车,3,汽车整车
869,张  裕Ａ,3,饮料制造
875,吉电股份,,电力
876,新 希 望,3,农产品加工
877,天山股份,3,建筑材料
878,云南铜业,3,有色冶炼加工
880,潍柴重机,,通用设备
881,大连国际,,综合
882,华联股份,,零售
883,湖北能源,3,电力
885,同力水泥,,建筑材料
886,海南高速,,房地产开发
887,中鼎股份,3,汽车零部件
888,峨眉山Ａ,,景点及旅游
889,茂业物流,,零售
890,法 尔 胜,,通用设备
892,星美联合,,综合
893,东凌粮油,,农产品加工
895,双汇发展,3,食品加工制造
897,津滨发展,3,房地产开发
898,鞍钢股份,3,钢铁
899,赣能股份,,电力
900,现代投资,,公路铁路运输
901,航天科技,3,仪器仪表
902,新洋丰,,化学制品
903,云内动力,,汽车零部件
905,厦门港务,3,港口航运
906,物产中拓,,贸易
908,景峰医药,,化学制药
909,数源科技,,房地产开发
910,大亚科技,,家用轻工
911,南宁糖业,,农产品加工
912,*ST天化,,化学制品
913,钱江摩托,,非汽车交运
915,山大华特,3,化学制药
916,华北高速,,公路铁路运输
917,电广传媒,3,通信服务
918,嘉凯城,,房地产开发
919,金陵药业,,医疗器械服务
920,南方汇通,,非汽车交运
921,海信科龙,3,白色家电
922,佳电股份,,电气设备
923,河北宣工,,专用设备
925,众合科技,,环保工程
926,福星股份,3,房地产开发
927,*ST夏利,,汽车整车
928,中钢国际,,建筑装饰
929,兰州黄河,,饮料制造
930,中粮生化,3,农产品加工
931,中 关 村,,化学制药
932,华菱钢铁,,钢铁
933,神火股份,3,煤炭开采
935,四川双马,,建筑材料
936,华西股份,,化工合成材料
937,冀中能源,3,煤炭开采
938,紫光股份,3,计算机设备
939,凯迪电力,3,环保工程
948,南天信息,,计算机设备
949,新乡化纤,,化工合成材料
950,建峰化工,,化学制品
951,中国重汽,,汽车整车
952,广济药业,,化学制药
953,河池化工,,化学制品
955,欣龙控股,,纺织制造
957,中通客车,,汽车整车
958,东方能源,,电力
959,首钢股份,,钢铁
960,锡业股份,3,有色冶炼加工
961,中南建设,3,房地产开发
962,东方钽业,3,新材料
963,华东医药,3,医药商业
965,天保基建,,房地产开发
966,长源电力,,电力
967,上风高科,,电气设备
968,煤 气 化,3,煤炭开采
969,安泰科技,3,新材料
970,中科三环,3,新材料
971,蓝鼎控股,,纺织制造
972,新中基,,农产品加工
973,佛塑科技,3,化工合成材料
975,银泰资源,3,有色冶炼加工
976,*ST春晖,,化工合成材料
977,浪潮信息,3,计算机设备
978,桂林旅游,,景点及旅游
979,中弘股份,3,房地产开发
980,金马股份,,汽车零部件
981,银亿股份,,房地产开发
982,中银绒业,,纺织制造
983,西山煤电,3,煤炭开采
985,大庆华科,,化学制品
987,广州友谊,,零售
988,华工科技,3,其他电子
989,九 芝 堂,3,中药
990,诚志股份,,化学制品
993,闽东电力,,电力
995,皇台酒业,,饮料制造
996,中国中期,3,保险及其他
997,新 大 陆,3,计算机设备
998,隆平高科,3,种植业与林业
999,华润三九,3,中药
1696,宗申动力,,汽车零部件
1896,豫能控股,,电力
2001,新 和 成,3,化学制药
2002,鸿达兴业,,基础化学
2003,伟星股份,,纺织制造
2004,华邦颖泰,3,化学制品
2005,德豪润达,3,光学光电子
2006,精功科技,,专用设备
2007,华兰生物,3,生物制品
2008,大族激光,3,其他电子
2009,天奇股份,,专用设备
2010,传化股份,,化学制品
2011,盾安环境,3,白色家电
2012,凯恩股份,,造纸
2013,中航机电,,国防军工
2014,永新股份,,包装印刷
2015,*ST霞客,,化工合成材料
2016,世荣兆业,3,房地产开发
2017,东信和平,,通信设备
2018,华信国际,,化学制品
2019,亿帆鑫富,,医药商业
2020,京新药业,,化学制药
2021,中捷资源,,专用设备
2022,科华生物,3,生物制品
2023,海特高新,3,国防军工
2024,苏宁云商,3,零售
2025,航天电器,3,电子制造
2026,山东威达,,通用设备
2027,七喜控股,,计算机设备
2028,思源电气,3,电气设备
2029,七 匹 狼,3,服装家纺
2030,达安基因,3,生物制品
2031,巨轮股份,,通用设备
2032,苏 泊 尔,,白色家电
2033,丽江旅游,,景点及旅游
2034,美 欣 达,,纺织制造
2035,华帝股份,,白色家电
2036,汉麻产业,,纺织制造
2037,久联发展,,化学制品
2038,双鹭药业,3,生物制品
2039,黔源电力,,电力
2040,南 京 港,,港口航运
2041,登海种业,3,种植业与林业
2042,华孚色纺,,纺织制造
2043,兔 宝 宝,,建筑材料
2044,江苏三友,,服装家纺
2045,国光电器,,电子制造
2046,轴研科技,,通用设备
2047,宝鹰股份,,建筑装饰
2048,宁波华翔,3,汽车零部件
2049,同方国芯,3,半导体及元件
2050,三花股份,3,白色家电
2051,中工国际,3,建筑装饰
2052,同洲电子,,视听器材
2053,云南盐化,,基础化学
2054,德美化工,,化学制品
2055,得润电子,3,电子制造
2056,横店东磁,3,其他电子
2057,中钢天源,,新材料
2058,威 尔 泰,,电气设备
2059,云南旅游,,景点及旅游
2060,粤 水 电,,建筑装饰
2061,江山化工,,化工新材料
2062,宏润建设,,建筑装饰
2063,远光软件,3,计算机应用
2064,华峰氨纶,3,化工合成材料
2065,东华软件,3,计算机应用
2066,瑞泰科技,,建筑材料
2067,景兴纸业,3,造纸
2068,黑猫股份,,化工合成材料
2069,獐 子 岛,3,养殖业
2070,众和股份,3,纺织制造
2071,长城影视,,传媒
2072,凯瑞德,,纺织制造
2073,软控股份,3,专用设备
2074,东源电器,,电气设备
2075,沙钢股份,,钢铁
2076,雪 莱 特,,其他电子
2077,大港股份,,房地产开发
2078,太阳纸业,3,造纸
2079,苏州固锝,3,半导体及元件
2080,中材科技,,化工新材料
2081,金 螳 螂,3,建筑装饰
2082,栋梁新材,,建筑材料
2083,孚日股份,,纺织制造
2084,海鸥卫浴,,家用轻工
2085,万丰奥威,,汽车零部件
2086,东方海洋,,养殖业
2087,新野纺织,,纺织制造
2088,鲁阳股份,,建筑材料
2089,新 海 宜,,通信设备
2090,金智科技,,电气设备
2091,江苏国泰,3,贸易
2092,中泰化学,3,基础化学
2093,国脉科技,3,通信设备
2094,青岛金王,,家用轻工
2095,生 意 宝,3,通信服务
2096,南岭民爆,,化学制品
2097,山河智能,,专用设备
2098,浔兴股份,,纺织制造
2099,海翔药业,,化学制药
2100,天康生物,,农业服务
2101,广东鸿图,,汽车零部件
2102,冠福股份,,贸易
2103,广博股份,,包装印刷
2104,恒宝股份,3,通信设备
2105,信隆实业,,非汽车交运
2106,莱宝高科,3,光学光电子
2107,沃华医药,,中药
2108,沧州明珠,3,化工合成材料
2109,兴化股份,,化学制品
2110,三钢闽光,,钢铁
2111,威海广泰,,专用设备
2112,三变科技,,电气设备
2113,天润控股,,综合
2114,罗平锌电,,有色冶炼加工
2115,三维通信,,通信设备
2116,中国海诚,,建筑装饰
2117,东港股份,3,包装印刷
2118,紫鑫药业,3,中药
2119,康强电子,,半导体及元件
2120,新海股份,,家用轻工
2121,科陆电子,,电气设备
2122,天马股份,,通用设备
2123,荣信股份,,电气设备
2124,天邦股份,,农产品加工
2125,湘潭电化,,基础化学
2126,银轮股份,,汽车零部件
2127,*ST新民,,化工合成材料
2128,露天煤业,3,煤炭开采
2129,中环股份,3,半导体及元件
2130,沃尔核材,3,新材料
2131,利欧股份,,通用设备
2132,恒星科技,,通用设备
2133,广宇集团,,房地产开发
2134,天津普林,,半导体及元件
2135,东南网架,,建筑装饰
2136,安 纳 达,,化学制品
2137,实 益 达,,光学光电子
2138,顺络电子,3,半导体及元件
2139,拓邦股份,,电子制造
2140,东华科技,3,建筑装饰
2141,蓉胜超微,,其他电子
2142,宁波银行,3,银行
2143,印纪传媒,,传媒
2144,宏达高科,,纺织制造
2145,中核钛白,,化学制品
2146,荣盛发展,3,房地产开发
2147,方圆支承,,通用设备
2148,北纬通信,3,传媒
2149,西部材料,,新材料
2150,通润装备,,通用设备
2151,北斗星通,3,国防军工
2152,广电运通,3,计算机设备
2153,石基信息,3,计算机应用
2154,报 喜 鸟,3,服装家纺
2155,辰州矿业,,有色冶炼加工
2156,通富微电,,半导体及元件
2157,正邦科技,,农产品加工
2158,汉钟精机,3,通用设备
2159,三特索道,,景点及旅游
2160,常铝股份,,有色冶炼加工
2161,远 望 谷,3,其他电子
2162,斯米克,,建筑材料
2163,*ST三鑫,,建筑材料
2164,宁波东力,,通用设备
2165,红 宝 丽,,化工新材料
2166,莱茵生物,,中药
2167,东方锆业,,有色冶炼加工
2168,深圳惠程,,电气设备
2169,智光电气,,电气设备
2170,芭田股份,,化学制品
2171,精诚铜业,,有色冶炼加工
2172,澳洋科技,,化工合成材料
2173,千足珍珠,,养殖业
2174,游族网络,,传媒
2175,广陆数测,,仪器仪表
2176,江特电机,3,电气设备
2177,御银股份,,计算机设备
2178,延华智能,,建筑装饰
2179,中航光电,3,电子制造
2180,艾派克,,半导体及元件
2181,粤 传 媒,3,传媒
2182,云海金属,,新材料
2183,怡 亚 通,3,物流
2184,海得控制,,电气设备
2185,华天科技,3,半导体及元件
2186,全 聚 德,,酒店及餐饮
2187,广百股份,,零售
2188,新 嘉 联,,电子制造
2189,利达光电,,光学光电子
2190,成飞集成,3,国防军工
2191,劲嘉股份,3,包装印刷
2192,*ST路翔,,基础化学
2193,山东如意,,纺织制造
2194,武汉凡谷,,通信设备
2195,二三四五,,计算机应用
2196,方正电机,,电气设备
2197,证通电子,,计算机设备
2198,嘉应制药,,中药
2199,东晶电子,,半导体及元件
2200,云投生态,,建筑装饰
2201,九鼎新材,,化工新材料
2202,金风科技,3,电气设备
2203,海亮股份,3,有色冶炼加工
2204,大连重工,3,通用设备
2205,国统股份,,建筑材料
2206,海 利 得,,化工合成材料
2207,准油股份,,采掘服务
2208,合肥城建,,房地产开发
2209,达 意 隆,,专用设备
2210,飞马国际,,物流
2211,宏达新材,,化学制品
2212,南洋股份,,电气设备
2213,特 尔 佳,,汽车零部件
2214,大立科技,,其他电子
2215,诺 普 信,,化学制品
2216,三全食品,,食品加工制造
2217,合力泰,,光学光电子
2218,拓日新能,,电气设备
2219,恒康医疗,3,医疗器械服务
2220,天宝股份,,农产品加工
2221,东华能源,3,基础化学
2222,福晶科技,,半导体及元件
2223,鱼跃医疗,3,医疗器械服务
2224,三 力 士,,化工合成材料
2225,濮耐股份,,建筑材料
2226,江南化工,,化学制品
2227,奥 特 迅,,电气设备
2228,合兴包装,,包装印刷
2229,鸿博股份,3,包装印刷
2230,科大讯飞,3,计算机应用
2231,奥维通信,,通信设备
2232,启明信息,,计算机应用
2233,塔牌集团,3,建筑材料
2234,民和股份,,养殖业
2235,安妮股份,,造纸
2236,大华股份,3,计算机设备
2237,恒邦股份,3,有色冶炼加工
2238,天威视讯,,通信服务
2239,金 飞 达,,服装家纺
2240,威华股份,,家用轻工
2241,歌尔声学,3,电子制造
2242,九阳股份,3,白色家电
2243,通产丽星,,包装印刷
2244,滨江集团,3,房地产开发
2245,澳洋顺昌,,物流
2246,北化股份,,化工新材料
2247,帝龙新材,,家用轻工
2248,*ST东数,,通用设备
2249,大洋电机,,电气设备
2250,联化科技,3,化学制品
2251,步 步 高,3,零售
2252,上海莱士,3,生物制品
2253,川大智胜,,计算机应用
2254,泰和新材,,化工合成材料
2255,海陆重工,,电气设备
2256,彩虹精化,,化学制品
2258,利尔化学,,化学制品
2259,升达林业,,家用轻工
2260,伊 立 浦,,白色家电
2261,拓维信息,3,传媒
2262,恩华药业,3,化学制药
2263,大 东 南,,包装印刷
2264,新 华 都,,零售
2265,西仪股份,,汽车零部件
2266,浙富控股,3,电气设备
2267,陕天然气,3,燃气水务
2268,卫 士 通,3,计算机应用
2269,美邦服饰,3,服装家纺
2270,法因数控,,通用设备
2271,东方雨虹,,建筑材料
2272,川润股份,,通用设备
2273,水晶光电,3,光学光电子
2274,华昌化工,,化学制品
2275,桂林三金,3,中药
2276,万马股份,3,电气设备
2277,友阿股份,3,零售
2278,神开股份,,专用设备
2279,久其软件,,计算机应用
2280,联络互动,,传媒
2281,光迅科技,3,通信设备
2282,博深工具,,通用设备
2283,天润曲轴,,汽车零部件
2284,亚太股份,,汽车零部件
2285,世联行,3,房地产开发
2286,保龄宝,,农产品加工
2287,奇正藏药,3,中药
2288,超华科技,,半导体及元件
2289,宇顺电子,,光学光电子
2290,禾盛新材,,白色家电
2291,星期六,,服装家纺
2292,奥飞动漫,3,传媒
2293,罗莱家纺,3,服装家纺
2294,信立泰,3,化学制药
2295,精艺股份,,有色冶炼加工
2296,辉煌科技,,计算机应用
2297,博云新材,,国防军工
2298,鑫龙电器,,电气设备
2299,圣农发展,3,养殖业
2300,太阳电缆,,电气设备
2301,齐心集团,,家用轻工
2302,西部建设,,建筑材料
2303,美盈森,,包装印刷
2304,洋河股份,3,饮料制造
2305,南国置业,,房地产开发
2306,中科云网,,酒店及餐饮
2307,北新路桥,3,建筑装饰
2308,威创股份,3,计算机设备
2309,中利科技,,电气设备
2310,东方园林,3,建筑装饰
2311,海大集团,3,农产品加工
